,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,país
0,0,Bad Bunny,Yonaguni,1,5,1220431,Colombia_limpio.csv
1,1,Rauw Alejandro,Todo De Ti,1,7,959324,Colombia_limpio.csv
2,2,"J Balvin, Maria Becerra",Qué Más Pues?,3,6,949783,Colombia_limpio.csv
3,3,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,3,2,900612,Colombia_limpio.csv
4,4,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Poblado - Remix,4,3,787452,Colombia_limpio.csv
5,5,"Rauw Alejandro, Mr. Naisgai",2/Catorce,5,13,586463,Colombia_limpio.csv
6,6,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",7,2,527388,Colombia_limpio.csv
7,7,"Sebastian Yatra, Myke Towers",Pareja Del Año,3,12,521948,Colombia_limpio.csv
8,8,"Bad Bunny, Jhayco",DÁKITI,1,36,482026,Colombia_limpio.csv
9,9,"KAROL G, Mariah Angeliq",EL MAKINON,4,15,467672,Colombia_limpio.csv
10,10,Måneskin,Beggin',11,3,453491,Colombia_limpio.csv
11,11,Ryan Castro,Jordan,12,9,453397,Colombia_limpio.csv
12,12,"Los Legendarios, Wisin, Jhayco",Fiel,1,22,445878,Colombia_limpio.csv
13,13,"Wisin, Jhayco, Anuel AA, Los Legendarios, Myke Towers",Fiel - Remix,12,4,433777,Colombia_limpio.csv
14,14,Sech,Sal y Perrea,13,11,371364,Colombia_limpio.csv
15,15,"Gera MX, Christian Nodal",Botella Tras Botella,3,11,361646,Colombia_limpio.csv
16,16,"Crissin, Totoy El Frio, Natan & Shander",Poblado,2,12,352268,Colombia_limpio.csv
17,17,"Myke Towers, Juhn",Bandido,1,30,341143,Colombia_limpio.csv
18,18,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,2,32,340270,Colombia_limpio.csv
19,19,Sech,911,4,22,329488,Colombia_limpio.csv
20,20,"Nio Garcia, Flow La Movie",AM,1,15,328870,Colombia_limpio.csv
21,21,"Mora, Jhayco",512,18,12,319818,Colombia_limpio.csv
22,22,"Blessd, Maluma",IMPOSIBLE - REMIX,13,8,319181,Colombia_limpio.csv
23,23,BTS,Butter,6,7,318142,Colombia_limpio.csv
24,24,Olivia Rodrigo,good 4 u,14,8,300350,Colombia_limpio.csv
25,25,Maluma,Hawái,1,49,275099,Colombia_limpio.csv
26,26,Ñejo,Muy Feliz,27,4,274520,Colombia_limpio.csv
27,27,"Rauw Alejandro, Anuel AA",Reloj,6,37,273830,Colombia_limpio.csv
28,28,"Ozuna, J Balvin, Chencho Corleone",Una Locura,4,44,272937,Colombia_limpio.csv
29,29,"J Balvin, Skrillex",In Da Getto,30,1,269974,Colombia_limpio.csv
30,30,Lil Nas X,MONTERO (Call Me By Your Name),14,15,266088,Colombia_limpio.csv
31,31,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",Aloha,18,18,260199,Colombia_limpio.csv
32,32,"Feid, Sky Rompiendo",CHIMBITA,5,30,246518,Colombia_limpio.csv
33,33,Feid,FUMETEO,22,4,246081,Colombia_limpio.csv
34,34,KAROL G,BICHOTA,2,37,230353,Colombia_limpio.csv
35,35,KAROL G,EL BARCO,21,15,226446,Colombia_limpio.csv
36,36,Andy Rivera,Alguien Más,17,8,225023,Colombia_limpio.csv
37,37,Myke Towers,Explícito,23,24,221316,Colombia_limpio.csv
38,38,"KEVIN ROLDAN, Bryant Myers, Lyanno",HASTA ABAJO,12,60,220749,Colombia_limpio.csv
39,39,"Doja Cat, SZA",Kiss Me More (feat. SZA),27,13,217862,Colombia_limpio.csv
40,40,"Manuel Turizo, Rauw Alejandro, Myke Towers",La Nota,4,39,217312,Colombia_limpio.csv
41,41,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),7,16,213926,Colombia_limpio.csv
42,42,Bad Bunny,TE MUDASTE,4,32,212618,Colombia_limpio.csv
43,43,"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY) (Feat. Tainy),2,50,211364,Colombia_limpio.csv
44,44,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),22,23,200811,Colombia_limpio.csv
45,45,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,2,56,199990,Colombia_limpio.csv
46,46,"Jossef, Jamby El Favo, Eix",Persia - Remix,47,10,199680,Colombia_limpio.csv
47,47,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),27,35,197446,Colombia_limpio.csv
48,48,Bad Bunny,A Tu Merced,23,71,183214,Colombia_limpio.csv
49,49,J Balvin,Tu Veneno,11,16,179471,Colombia_limpio.csv
50,50,Kali Uchis,telepatía,3,21,174759,Colombia_limpio.csv
51,51,"J Balvin, Bad Bunny",LA CANCIÓN,2,106,170955,Colombia_limpio.csv
52,52,The Weeknd,Blinding Lights,12,84,169176,Colombia_limpio.csv
53,53,"NATTI NATASHA, Becky G",Ram Pam Pam,54,10,167384,Colombia_limpio.csv
54,54,Bad Bunny,De Museo,55,1,164798,Colombia_limpio.csv
55,55,"TINI, Maria Becerra",Miénteme,56,9,160155,Colombia_limpio.csv
56,56,"Alex Rose, Rauw Alejandro",Me Fije,57,15,156994,Colombia_limpio.csv
57,57,"Sebastian Yatra, Guaynaa",Chica Ideal,9,38,154696,Colombia_limpio.csv
58,58,"Rochy RD, Myke Towers, Nicki Nicole",Ella No Es Tuya - Remix,6,21,153267,Colombia_limpio.csv
59,59,Boza,Hecha Pa' Mi,5,33,150686,Colombia_limpio.csv
60,60,Måneskin,I WANNA BE YOUR SLAVE,61,3,147773,Colombia_limpio.csv
61,61,Rauw Alejandro,Sexo Virtual,54,2,145448,Colombia_limpio.csv
62,62,"Carlos Vives, Ricky Martin",Canción Bonita,55,12,142400,Colombia_limpio.csv
63,63,Christian Nodal,Aquí Abajo,47,43,141938,Colombia_limpio.csv
64,64,Olivia Rodrigo,deja vu,37,14,139068,Colombia_limpio.csv
65,65,KAROL G,200 COPAS,63,15,139033,Colombia_limpio.csv
66,66,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),38,11,138650,Colombia_limpio.csv
67,67,Boza,Ella,66,6,138207,Colombia_limpio.csv
68,68,"Feid, ICON",PURRITO APA,9,14,136924,Colombia_limpio.csv
69,69,"Arcángel, Jay Wheeler, Miky Woodz",Si Te Veo,54,9,136254,Colombia_limpio.csv
70,70,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,19,61,133815,Colombia_limpio.csv
71,71,"Rauw Alejandro, Camilo",Tattoo - Remix with Camilo,2,52,132226,Colombia_limpio.csv
72,72,Olivia Rodrigo,drivers license,18,26,131822,Colombia_limpio.csv
73,73,"Morat, Danna Paola",Idiota,40,5,131393,Colombia_limpio.csv
74,74,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,75,2,130786,Colombia_limpio.csv
75,75,Ed Sheeran,Bad Habits,68,2,130025,Colombia_limpio.csv
76,76,"Bizarrap, Eladio Carrion","Eladio Carrion: Bzrp Music Sessions, Vol. 40",43,4,129180,Colombia_limpio.csv
77,77,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,3,112,127255,Colombia_limpio.csv
78,78,Silvestre Dangond,Las Locuras Mías,15,37,125339,Colombia_limpio.csv
79,79,"KAROL G, Anuel AA, J Balvin",LOCATION,10,21,124733,Colombia_limpio.csv
80,80,Camilo,Vida de Rico,2,42,124332,Colombia_limpio.csv
81,81,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",Travesuras - Remix,45,17,123597,Colombia_limpio.csv
82,82,"Maluma, Lenny Tavárez, Justin Quiles",Parce (feat. Justin Quiles),5,46,122726,Colombia_limpio.csv
83,83,"Bad Bunny, Tainy",Callaita,1,110,122250,Colombia_limpio.csv
84,84,"Wisin, Myke Towers, Los Legendarios",Mi Niña,14,41,121293,Colombia_limpio.csv
85,85,"Manuel Turizo, Maluma",Amor en Coma,28,13,120792,Colombia_limpio.csv
86,86,"Lunay, Anitta",TODO O NADA,71,5,119768,Colombia_limpio.csv
87,87,Dua Lipa,Don't Start Now,16,88,119583,Colombia_limpio.csv
88,88,Danny Ocean,Me Rehúso,1,237,117267,Colombia_limpio.csv
89,89,BTS,Dynamite,20,46,116901,Colombia_limpio.csv
90,90,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,45,18,116158,Colombia_limpio.csv
91,91,Harry Styles,Watermelon Sugar,55,60,116022,Colombia_limpio.csv
92,92,"ChiChi Peralta, Jandy Feliz",Procura,57,98,115941,Colombia_limpio.csv
93,93,"Camilo, Evaluna Montaner",Machu Picchu,7,19,115743,Colombia_limpio.csv
94,94,"Ozuna, Camilo",Despeinada,4,44,112338,Colombia_limpio.csv
95,95,Bad Bunny,Si Veo a Tu Mamá,2,71,111545,Colombia_limpio.csv
96,96,"KAROL G, Nicki Minaj",Tusa,1,87,110917,Colombia_limpio.csv
97,97,"Piso 21, Maluma",Más De La Una,25,31,109937,Colombia_limpio.csv
98,98,Olivia Rodrigo,traitor,70,7,107978,Colombia_limpio.csv
99,99,Bad Bunny,Si Estuviésemos Juntos,65,85,107627,Colombia_limpio.csv
100,100,"Nicky Jam, Romeo Santos",Fan de Tus Fotos,38,21,107321,Colombia_limpio.csv
101,101,Pablo Alborán,Saturno,83,7,106504,Colombia_limpio.csv
102,102,"Justin Quiles, Chimbala, Zion & Lennox",Loco,103,4,106099,Colombia_limpio.csv
103,103,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",Relación - Remix,6,44,106071,Colombia_limpio.csv
104,104,Bad Bunny,Vete,4,85,105856,Colombia_limpio.csv
105,105,"Camilo, El Alfa",BEBÉ,14,32,105614,Colombia_limpio.csv
106,106,J Balvin,Rojo,1,71,102728,Colombia_limpio.csv
107,107,Olivia Rodrigo,favorite crime,94,7,102681,Colombia_limpio.csv
108,108,Plan B,Es un Secreto,109,23,101795,Colombia_limpio.csv
109,109,Espinoza Paz,Soltero Feliz,110,16,101661,Colombia_limpio.csv
