rank;artist_names;track_name;peak_rank;weeks_on_chart;streams;archivo
130;Ak4:20;Rata Tan Tan;31;40;214380;Chile_limpio.csv
69;Ak4:20;Siempre Fine;8;16;360106;Chile_limpio.csv
48;Ak4:20;Skyline;16;29;484833;Chile_limpio.csv
37;Balbi El Chamako, Marcianeke, El BAI;Ponle;38;1;575671;Chile_limpio.csv
128;Cris Mj, Marcianeke;Te Fuiste Con Otro;129;2;215490;Chile_limpio.csv
173;Drago200, Pablo Chill-E, Ak4:20;No Está Interesada;86;39;171419;Chile_limpio.csv
44;El Futuro Fuera De Orbita, Harry Nach, La Nevula23 Productor;Juju Juju;6;22;501788;Chile_limpio.csv
8;Galee Galee, Harry Nach, Pablo Chill-E;Big Cut;9;2;1247507;Chile_limpio.csv
188;Harry Nach;Tak Tiki Tak;7;77;156684;Chile_limpio.csv
148;Marcianeke;Envidia;148;5;194721;Chile_limpio.csv
162;Marcianeke;Pistolas Con Chip;155;5;182130;Chile_limpio.csv
99;Marcianeke;Que Sera;94;8;268568;Chile_limpio.csv
38;Marcianeke, Crismj;Tussi Code Mari;39;10;557025;Chile_limpio.csv
132;Marcianeke, yammir, Young Brooklyn, Victor La Voz, NicoClear;Chambee - Remix;124;7;212692;Chile_limpio.csv
81;Pablo Chill-E, Julianno Sosa;Deseos;69;4;310959;Chile_limpio.csv
29;Pailita, Marcianeke;Dimelo Ma;30;9;624011;Chile_limpio.csv
88;Ricky Martin, Paloma Mami;Qué Rico Fuera;68;4;290935;Chile_limpio.csv
198;Simon la Letra, Pablo Chill-E;Bloqueame;62;20;153130;Chile_limpio.csv
