rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,1,10,1630991,Argentina
2,Sech,Relación,2,13,1378537,Argentina
3,"Feid, Justin Quiles",PORFA,2,26,1150583,Argentina
4,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí,4,14,1095713,Argentina
5,Nicki Nicole,Colocao,1,7,1087107,Argentina
6,Harry Nach,Tak Tiki Tak,6,8,1084112,Argentina
7,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,7,5,941781,Argentina
8,Camilo,Favorito,1,14,908050,Argentina
9,Bad Bunny,Yo Perreo Sola,2,18,864925,Argentina
10,J Balvin,Rojo,4,18,861194,Argentina
11,Ozuna,Caramelo,11,3,842502,Argentina
12,"Ovy On The Drums, Beéle",Inolvidable,6,21,817222,Argentina
13,Rauw Alejandro,Tattoo,2,19,774890,Argentina
14,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,1,18,752139,Argentina
15,The Weeknd,Blinding Lights,15,26,678363,Argentina
16,"Alan Gomez, Jona Mix",La Jeepeta (Remix) [DJ Alan & Jona Mix Version],16,4,663994,Argentina
17,Harry Styles,Watermelon Sugar,17,16,629797,Argentina
18,Juanfran,Como Llora,18,10,626591,Argentina
19,"Camilo, Evaluna Montaner",Por Primera Vez,7,16,625271,Argentina
20,Myke Towers,Diosa,6,21,622443,Argentina
21,"KAROL G, Nicki Minaj",Tusa,1,34,590594,Argentina
22,J Balvin,Morado,9,25,569976,Argentina
23,J Balvin,Azul,23,15,554678,Argentina
24,"Bizarrap, C.R.O","C.R.O: Bzrp Music Sessions, Vol. 29",2,7,543242,Argentina
25,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,25,29,539942,Argentina
26,"SAINt JHN, Imanbek",Roses - Imanbek Remix,18,16,538108,Argentina
27,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,2,35,535122,Argentina
28,"Cali Y El Dandee, Sebastian Yatra",Locura,23,8,529773,Argentina
29,Dua Lipa,Don't Start Now,12,35,513287,Argentina
30,"Reik, Farruko, Camilo",Si Me Dices Que Sí,30,19,488755,Argentina
31,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",31,1,480082,Argentina
32,"Fer Palacio, DJ Alex, Santiago Saez",Ya No Más,10,63,472100,Argentina
33,Bad Bunny,La Difícil,4,18,469132,Argentina
34,"LIT killah, Bizarrap",Flexin',34,1,468244,Argentina
35,"Bizarrap, Homer El Mero Mero","HOMER EL MERO MERO: Bzrp Music Sessions, Vol. 30",25,2,466742,Argentina
36,"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),26,5,458636,Argentina
37,"Bad Bunny, Sech",Ignorantes,5,20,455229,Argentina
38,Tones And I,Dance Monkey,3,39,453613,Argentina
39,Beéle,Loco,15,25,447330,Argentina
40,"Powfu, beabadoobee",death bed (coffee for your head),26,16,447328,Argentina
41,Maria Becerra,High,20,31,445164,Argentina
42,"Agapornis, Hernan y La Champion's Liga, Lauro",Flasheaste Amor,16,28,441147,Argentina
43,"Arcángel, Sech, Dímelo Flow",Sigues Con El,3,29,436471,Argentina
44,Cazzu,Bounce,32,9,431804,Argentina
45,"Alex Rose, Rafa Pabön",Jangueo,40,18,422179,Argentina
46,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,46,2,419102,Argentina
47,Harry Styles,Adore You,47,30,418547,Argentina
48,"Lunay, Ozuna, Myke Towers, Chencho Corleone, Rauw Alejandro",La Cama (Remix),32,14,409351,Argentina
49,"Rauw Alejandro, Farruko",Fantasias,2,43,401893,Argentina
50,"TINI, Mau y Ricky",Recuerdo,8,25,399586,Argentina
51,Ke Personajes,Cómo estás,25,50,382115,Argentina
52,"Lenny Tavárez, Justin Quiles",La Pared 360,31,21,379651,Argentina
53,Dua Lipa,Break My Heart,33,14,373549,Argentina
54,BLACKPINK,How You Like That,54,1,351184,Argentina
55,Anuel AA,Reggaetonera,55,5,338602,Argentina
56,"Camilo, Pablo Alborán",El Mismo Aire - con Pablo Alborán,55,3,336982,Argentina
57,KHEA,Dónde Estás,18,22,329930,Argentina
58,J Balvin,Amarillo,12,15,328023,Argentina
59,"Justin Quiles, Daddy Yankee, El Alfa",PAM,58,9,322614,Argentina
60,"Camilo, Pedro Capó",Tutu,4,47,316258,Argentina
61,"Ir Sais, Rauw Alejandro",Dream Girl - Remix,61,10,315693,Argentina
62,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),22,6,312662,Argentina
63,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,63,8,311770,Argentina
64,Dalex,+Linda,64,4,308337,Argentina
65,"Rauw Alejandro, Chencho Corleone",El Efecto,30,64,296968,Argentina
66,"Ovy On The Drums, TINI",Ya no me llames,33,14,296079,Argentina
67,"Lucho SSJ, Duki, KHEA, C.R.O",Jimmy Fallon - Remix,67,3,295040,Argentina
68,"TINI, Lalo Ebratt",Fresa,1,43,284377,Argentina
69,"Sech, Daddy Yankee",Confía,57,6,280637,Argentina
70,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,1,50,279042,Argentina
71,"Farruko, Beéle, NATTI NATASHA, Manuel Turizo",Loco - Remix,48,10,271410,Argentina
72,Bad Bunny,BYE ME FUI,29,8,270122,Argentina
73,"Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles",Bellaquita (Remix),7,32,269514,Argentina
74,Manuel Turizo,Quiéreme Mientras Se Pueda,74,7,269060,Argentina
75,"Nicky Jam, Daddy Yankee",Muévelo,6,25,269014,Argentina
76,"Sebastian Yatra, Rauw Alejandro, Manuel Turizo",TBT,39,19,266030,Argentina
77,"Dalex, Sech",Mejor,34,21,262649,Argentina
78,"Montano, Beéle, Totoy El Frio",sOLA,63,9,261218,Argentina
79,WOS,CANGURO,3,47,255209,Argentina
80,Ciro y los Persas,Me Gusta,80,178,254440,Argentina
81,El Dipy,Par-Tusa,7,21,253150,Argentina
82,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),82,5,251174,Argentina
83,"Arcángel, Sech, Romeo Santos",Sigues Con El - Remix,45,12,251103,Argentina
84,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,84,1,246930,Argentina
85,"Yandel, Bad Bunny",CANCIÓN CON YANDEL,65,8,246498,Argentina
86,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,83,11,245888,Argentina
87,"Sech, Justin Quiles",Fabuloso,87,2,244129,Argentina
88,Fer Palacio,Tak Tiki Tax,88,3,243011,Argentina
89,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Quizas,7,41,241704,Argentina
90,"TINI, Sebastian Yatra",Oye,4,38,240850,Argentina
91,Drake,Toosie Slide,74,13,240846,Argentina
92,Bad Bunny,Vete,7,32,240526,Argentina
93,Doja Cat,Say So,52,19,234936,Argentina
94,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,5,59,234859,Argentina
95,Anuel AA,Keii,12,21,234140,Argentina
96,Camilo,La Difícil,29,26,232635,Argentina
97,"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),3,45,231538,Argentina
98,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),1,38,230991,Argentina
99,WOS,MELÓN VINO,7,43,229910,Argentina
100,"Maria Becerra, Dani Ribba",Moon,34,10,226730,Argentina
101,"Bad Bunny, Nicky Jam",BAD CON NICKY,50,8,224474,Argentina
102,"J Balvin, Bad Bunny",LA CANCIÓN,7,53,224087,Argentina
103,Duki,Goteo,1,48,224027,Argentina
104,Intoxicados,Nunca quise,68,179,223572,Argentina
105,"Justin Quiles, NATTI NATASHA, Farruko, Lenny Tavárez, Dalex, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",10,43,221793,Argentina
106,"YSY A, CLUB HATS",#Ysya2020 Vol. 1 - Una de Dos,106,1,220417,Argentina
107,WOS,ALMA DINAMITA,28,6,215690,Argentina
108,J Balvin,Negro,81,14,215496,Argentina
109,"Shakira, Anuel AA",Me Gusta,18,25,214793,Argentina
110,Bad Bunny,Si Veo a Tu Mamá,23,18,212707,Argentina
111,"KAROL G, Anuel AA",Follow,60,13,212392,Argentina
112,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),36,8,211820,Argentina
113,Lewis Capaldi,Someone You Loved,103,23,211543,Argentina
114,"Shawn Mendes, Camila Cabello",Señorita,4,54,211483,Argentina
115,"Bad Bunny, Daddy Yankee",La Santa,21,18,210795,Argentina
116,Nicki Nicole,Años Luz,21,45,202841,Argentina
117,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,100,128,202560,Argentina
118,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Perreo en La Luna,10,38,201771,Argentina
119,Javiielo,Pa Los Gustos Los Colores,18,25,201040,Argentina
120,Maroon 5,Memories,68,38,197325,Argentina
121,Divididos,Spaghetti del Rock,87,182,196800,Argentina
122,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,57,20,196382,Argentina
123,Andresito Romero,Me Miras Asi,65,41,196309,Argentina
124,Trevor Daniel,Falling,61,30,195867,Argentina
125,J Balvin,Blanco,18,33,195303,Argentina
126,"Morat, Sebastian Yatra",Bajo La Mesa,79,6,195248,Argentina
127,"Daddy Yankee, Sech",Definitivamente,34,22,194680,Argentina
128,Paulo Londra,Tal Vez,1,66,194583,Argentina
129,"Bizarrap, Nicki Nicole","Nicki Nicole: Bzrp Music Sessions, Vol. 13",1,47,193742,Argentina
130,Ciro y los Persas,Mírenla,118,44,193425,Argentina
131,"Sech, Ozuna",Si Te Vas,5,40,193318,Argentina
132,"Anuel AA, Cardi B, Black Jonas Point, Secreto ""El Famoso Biberon"", Liro Shaq",La Bebe - Remix,132,1,193119,Argentina
133,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix,1,73,191420,Argentina
134,"Bad Bunny, Tainy",Callaita,2,57,190082,Argentina
135,Maluma,ADMV,135,8,189872,Argentina
136,"Moonkey, C.R.O, WE$T DUBAI",Lambo,35,13,189446,Argentina
137,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),134,8,189273,Argentina
138,Gustavo Cerati,Crimen,91,184,188844,Argentina
139,Daddy Yankee,Que Tire Pa Lante,2,37,188529,Argentina
140,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,2,49,187574,Argentina
141,"BENEE, Gus Dapperton",Supalonely,99,15,187477,Argentina
142,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),2,60,186223,Argentina
143,Los Nota Lokos,Soltera Vá,38,30,186104,Argentina
144,"Duki, Kidd Keo, Juicy J",24,144,1,186082,Argentina
145,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Porno,58,34,184494,Argentina
146,"Abraham Mateo, Sofía Reyes",¿Qué Ha Pasao'?,56,35,183633,Argentina
147,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,3,89,183353,Argentina
148,"Anuel AA, Enrique Iglesias",Fútbol & Rumba (feat. Enrique Iglesias),87,5,183268,Argentina
149,Patricio Rey y sus Redonditos de Ricota,Un Poco de Amor Francés,145,42,183247,Argentina
150,"TINI, Greeicy",22,9,61,182531,Argentina
