,Unnamed: 0.1,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País,Unnamed: 0
5,5,6,Harry Nach,Tak Tiki Tak,6,8,1084112,Argentina,
207,7,8,Harry Nach,Tak Tiki Tak,8,24,831639,Chile,
284,84,85,Paloma Mami,Goteo,21,9,228491,Chile,
415,15,16,Harry Nach,Tak Tiki Tak,16,6,258626,Colombia,
632,32,33,Harry Nach,Tak Tiki Tak,25,10,1109957,Espana,
805,5,6,Harry Nach,Tak Tiki Tak,6,6,115780,Guatemala,
1018,18,19,Harry Nach,Tak Tiki Tak,19,5,32834,Honduras,
1208,8,9,Harry Nach,Tak Tiki Tak,9,6,2234782,Mexico,
1408,8,9,Harry Nach,Tak Tiki Tak,8,7,399468,Peru,
1675,75,76,Harry Nach,Tak Tiki Tak,76,4,7367064,Global,
1805,5,6,Harry Nach,Tak Tiki Tak,6,8,1084112,Argentina,5.0
2007,207,8,Harry Nach,Tak Tiki Tak,8,24,831639,Chile,7.0
2084,284,85,Paloma Mami,Goteo,21,9,228491,Chile,84.0
2215,415,16,Harry Nach,Tak Tiki Tak,16,6,258626,Colombia,15.0
2432,632,33,Harry Nach,Tak Tiki Tak,25,10,1109957,Espana,32.0
2605,805,6,Harry Nach,Tak Tiki Tak,6,6,115780,Guatemala,5.0
2818,1018,19,Harry Nach,Tak Tiki Tak,19,5,32834,Honduras,18.0
3008,1208,9,Harry Nach,Tak Tiki Tak,9,6,2234782,Mexico,8.0
3208,1408,9,Harry Nach,Tak Tiki Tak,8,7,399468,Peru,8.0
3475,1675,76,Harry Nach,Tak Tiki Tak,76,4,7367064,Global,75.0
