rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,1,3,1320131,Chile
2,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,1,10,1244657,Chile
3,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,1,5,1111867,Chile
4,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,1,8,1093756,Chile
5,Sech,Relación,4,13,1065390,Chile
6,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí,3,14,995214,Chile
7,"Feid, Justin Quiles",PORFA,4,24,866922,Chile
8,Harry Nach,Tak Tiki Tak,8,24,831639,Chile
9,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,1,18,819514,Chile
10,Bad Bunny,Yo Perreo Sola,2,18,760076,Chile
11,Ozuna,Caramelo,11,3,744613,Chile
12,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,11,29,705108,Chile
13,Anuel AA,Reggaetonera,8,5,675983,Chile
14,J Balvin,Rojo,8,18,660430,Chile
15,The Weeknd,Blinding Lights,13,27,652769,Chile
16,Bad Bunny,La Difícil,2,18,629058,Chile
17,Camilo,Favorito,3,14,606200,Chile
18,Myke Towers,Diosa,9,23,580258,Chile
19,Rauw Alejandro,Tattoo,8,20,572542,Chile
20,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",20,1,551843,Chile
21,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,2,35,549156,Chile
22,"Bad Bunny, Sech",Ignorantes,1,20,539784,Chile
23,"Alex Rose, Rafa Pabön",Jangueo,16,32,537738,Chile
24,"Arcángel, Sech, Dímelo Flow",Sigues Con El,2,29,525026,Chile
25,"Bad Bunny, Daddy Yankee",La Santa,3,18,513190,Chile
26,"Bad Bunny, Nicky Jam",BAD CON NICKY,4,8,481903,Chile
27,Bad Bunny,BYE ME FUI,2,8,479694,Chile
28,"Bad Bunny, Zion & Lennox",MÁS DE UNA CITA,3,8,469502,Chile
29,"Lunay, Ozuna, Myke Towers, Chencho Corleone, Rauw Alejandro",La Cama (Remix),20,14,449195,Chile
30,"KAROL G, Nicki Minaj",Tusa,1,34,437796,Chile
31,"Yandel, Bad Bunny",CANCIÓN CON YANDEL,6,8,432465,Chile
32,BLACKPINK,How You Like That,32,1,423039,Chile
33,J Balvin,Azul,33,15,409384,Chile
34,Tones And I,Dance Monkey,4,38,409315,Chile
35,J Balvin,Morado,16,25,394723,Chile
36,"Ir Sais, Rauw Alejandro",Dream Girl - Remix,36,26,391778,Chile
37,Myke Towers,Girl,4,23,391348,Chile
38,"Sech, Daddy Yankee",Confía,30,6,390321,Chile
39,Bad Bunny,A Tu Merced,10,18,388968,Chile
40,Anuel AA,Keii,4,21,384229,Chile
41,Juanka,Tus Besos,38,10,375223,Chile
42,Bad Bunny,Vete,2,32,375068,Chile
43,"Anuel AA, Tego Calderón",Jangueo,9,5,373818,Chile
44,"Cali Y El Dandee, Sebastian Yatra",Locura,33,8,366626,Chile
