rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,"Feid, Justin Quiles",PORFA,1,29,433031,Colombia
2,J Balvin,Rojo,1,18,430694,Colombia
3,Sech,Relación,3,13,414493,Colombia
4,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",4,1,410962,Colombia
5,J Balvin,Azul,3,15,355154,Colombia
6,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,6,9,341433,Colombia
7,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí,3,14,338831,Colombia
8,J Balvin,Amarillo,2,15,318563,Colombia
9,Camilo,Favorito,2,14,302747,Colombia
10,Rauw Alejandro,Tattoo,5,20,297443,Colombia
11,J Balvin,Morado,3,25,296418,Colombia
12,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,2,18,283215,Colombia
13,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,13,3,280964,Colombia
14,Manuel Turizo,Quiéreme Mientras Se Pueda,14,9,260363,Colombia
15,The Weeknd,Blinding Lights,12,31,258841,Colombia
16,Harry Nach,Tak Tiki Tak,16,6,258626,Colombia
17,Bad Bunny,Yo Perreo Sola,4,18,258455,Colombia
18,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,5,5,257536,Colombia
19,"KAROL G, Nicki Minaj",Tusa,1,34,254030,Colombia
20,Greeicy,Los Besos,16,11,240979,Colombia
21,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,4,35,233380,Colombia
22,"Arcángel, Sech, Dímelo Flow",Sigues Con El,2,29,219412,Colombia
23,"J Balvin, Bad Bunny",LA CANCIÓN,2,53,215233,Colombia
24,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,19,8,212427,Colombia
25,"Camilo, Pablo Alborán",El Mismo Aire - con Pablo Alborán,21,3,212307,Colombia
26,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,26,3,211442,Colombia
27,J Balvin,Blanco,4,33,206686,Colombia
28,Myke Towers,Diosa,14,21,204427,Colombia
29,Ozuna,Caramelo,29,3,204199,Colombia
30,Tones And I,Dance Monkey,3,42,200962,Colombia
31,"Bad Bunny, Sech",Ignorantes,2,20,198977,Colombia
32,"Feid, Manuel Turizo",BORRAXXA,7,20,195945,Colombia
33,"Rauw Alejandro, Farruko",Fantasias,2,44,194368,Colombia
34,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,3,59,186064,Colombia
35,J Balvin,Negro,7,15,182519,Colombia
36,Dua Lipa,Don't Start Now,16,35,182089,Colombia
37,Maluma,ADMV,25,10,181578,Colombia
38,Bad Bunny,Si Veo a Tu Mamá,2,18,181524,Colombia
39,"Alex Rose, Rafa Pabön",Jangueo,36,24,179916,Colombia
40,"Rauw Alejandro, Chencho Corleone",El Efecto,35,22,176857,Colombia
41,Bad Bunny,La Difícil,4,18,174290,Colombia
42,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,41,25,172300,Colombia
43,"Camilo, Evaluna Montaner",Por Primera Vez,12,17,164769,Colombia
44,"Cali Y El Dandee, Sebastian Yatra",Locura,31,8,162512,Colombia
45,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,1,50,159732,Colombia
46,"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),2,45,155661,Colombia
47,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Quizas,4,41,154953,Colombia
48,"Camilo, Pedro Capó",Tutu,2,47,150675,Colombia
49,J Balvin,Gris,5,15,150325,Colombia
50,"SAINt JHN, Imanbek",Roses - Imanbek Remix,45,15,147860,Colombia
51,"Andy Rivera, Jhonny Rivera, Jessi Uribe",Alguien Me Gusta,15,41,129448,Colombia
52,"Greeicy, Nacho",Destino,3,68,126379,Colombia
53,"Piso 21, Micro TDH",Te Vi,5,81,126298,Colombia
54,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),1,38,125082,Colombia
55,"Reik, Farruko, Camilo",Si Me Dices Que Sí,37,20,124854,Colombia
56,"Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles",Bellaquita (Remix),15,32,124467,Colombia
57,Maluma,11 PM,4,59,123956,Colombia
58,Bad Bunny,Vete,4,32,123870,Colombia
59,"Ir Sais, Rauw Alejandro",Dream Girl - Remix,58,24,122222,Colombia
60,BLACKPINK,How You Like That,60,1,120659,Colombia
61,Beéle,Loco,3,46,119074,Colombia
62,"Bad Bunny, Tainy",Callaita,1,57,118859,Colombia
63,"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),25,5,118208,Colombia
64,"Powfu, beabadoobee",death bed (coffee for your head),35,16,116024,Colombia
65,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,21,43,115527,Colombia
66,Camilo,El Mismo Aire,9,11,114541,Colombia
