rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,1,10,3142982,Espana
2,Ozuna,Caramelo,2,3,3091898,Espana
3,Anuel AA,El Manual,2,5,2915198,Espana
4,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,2,5,2531131,Espana
5,"Prince Royce, Myke Towers",Carita de Inocente (feat. Myke Towers) - Remix,5,4,2433625,Espana
6,"Justin Quiles, Daddy Yankee, El Alfa",PAM,1,9,2323168,Espana
7,"Don Patricio, Mozart La Para",Pa toda la vida (feat. Mozart La Para),7,6,2180366,Espana
8,"Ñengo Flow, Anuel AA",Sur y Norte,5,7,2167571,Espana
9,"Sech, Justin Quiles",Fabuloso,8,6,2159608,Espana
10,Sech,Relación,8,13,2071833,Espana
11,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,11,3,1869386,Espana
12,Chema Rivas,Mil Tequilas,2,18,1687237,Espana
13,"Anuel AA, Tego Calderón",Jangueo,9,5,1658780,Espana
14,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,14,3,1622329,Espana
15,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,13,8,1540303,Espana
16,"Lérica, Belinda",Flamenkito,16,8,1457009,Espana
17,"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),1,5,1397083,Espana
18,Camilo,Favorito,4,14,1396321,Espana
19,"Nyno Vargas, Omar Montes","Hola, Nena (feat. Omar Montes)",8,10,1377360,Espana
20,Anuel AA,Reggaetonera,20,5,1366629,Espana
21,Anuel AA,Narcos,16,5,1356737,Espana
22,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",4 besos,8,14,1332558,Espana
23,"KAROL G, Nicki Minaj",Tusa,1,34,1332096,Espana
24,"Feid, Justin Quiles",PORFA,6,27,1254475,Espana
25,C. Tangana,Nunca Estoy,1,10,1252285,Espana
26,J Balvin,Amarillo,1,15,1221495,Espana
27,"Fred De Palma, Ana Mena",Se iluminaba,6,36,1203025,Espana
28,Kiko el Crazy,La Popi,28,4,1193108,Espana
29,"Anuel AA, Enrique Iglesias",Fútbol & Rumba (feat. Enrique Iglesias),7,5,1171459,Espana
30,"Casper Magico, Anuel AA",Sola & Vacía,4,11,1151044,Espana
