rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),1,11,37785236,Global
2,The Weeknd,Blinding Lights,1,31,32272255,Global
3,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),3,3,31355874,Global
4,BLACKPINK,How You Like That,4,1,28978705,Global
5,"SAINt JHN, Imanbek",Roses - Imanbek Remix,3,29,27653634,Global
6,Harry Styles,Watermelon Sugar,6,33,24623718,Global
7,"Powfu, beabadoobee",death bed (coffee for your head),4,20,22131026,Global
8,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),1,6,21527236,Global
9,Drake,Toosie Slide,2,13,20775691,Global
10,Tones And I,Dance Monkey,1,50,19043383,Global
11,StaySolidRocky,Party Girl,9,9,18948084,Global
12,Dua Lipa,Don't Start Now,2,35,18537909,Global
13,"Topic, A7S",Breaking Me,13,15,18484450,Global
14,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),9,14,18379649,Global
15,Dua Lipa,Break My Heart,7,14,17901708,Global
16,Lil Mosey,Blueberry Faygo,8,21,16936460,Global
17,"BENEE, Gus Dapperton",Supalonely,12,17,15371615,Global
18,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),2,8,15369885,Global
19,Roddy Ricch,The Box,1,29,15102014,Global
20,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,20,11,15101202,Global
21,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,10,14506554,Global
22,Lewis Capaldi,Someone You Loved,4,78,14135785,Global
23,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,23,7,13797232,Global
24,"Justin Bieber, Quavo",Intentions (feat. Quavo),5,21,13753102,Global
25,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",25,1,13631321,Global
26,6ix9ine,GOOBA,4,8,12913152,Global
27,Doja Cat,Say So,6,27,12614293,Global
28,Surfaces,Sunday Best,13,24,12563578,Global
29,Sech,Relación,29,9,12521339,Global
30,Lewis Capaldi,Before You Go,19,32,12433117,Global
31,Trevor Daniel,Falling,5,33,12184922,Global
32,"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),13,10,12091810,Global
33,"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),15,5,11923613,Global
34,The Weeknd,In Your Eyes,6,15,11591688,Global
35,Post Malone,Circles,1,44,11558990,Global
36,"KAROL G, Nicki Minaj",Tusa,3,34,11274852,Global
37,Melanie Martinez,Play Date,26,10,11199552,Global
38,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,32,5,11096052,Global
39,Travis Scott,goosebumps,13,151,11067630,Global
40,"Marshmello, Halsey",Be Kind (with Halsey),22,9,10768670,Global
41,Ava Max,Kings & Queens,41,14,10689403,Global
42,"Kygo, OneRepublic",Lose Somebody,32,7,10573306,Global
43,Harry Styles,Adore You,6,30,10512379,Global
44,"Shawn Mendes, Camila Cabello",Señorita,1,54,10509426,Global
45,Bad Bunny,Yo Perreo Sola,18,18,10413542,Global
46,Maroon 5,Memories,2,41,10049594,Global
47,Travis Scott,HIGHEST IN THE ROOM,1,39,9864647,Global
48,Ozuna,Caramelo,48,3,9826561,Global
49,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,9,18,9818262,Global
50,Jack Harlow,WHATS POPPIN,26,22,9263240,Global
51,"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),5,6,9252586,Global
52,Travis Scott,SICKO MODE,2,100,9102034,Global
53,"Future, Drake",Life Is Good (feat. Drake),3,25,9093197,Global
54,Billie Eilish,bad guy,1,66,9080799,Global
55,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,89,9073958,Global
56,Arizona Zervas,ROXANNE,2,36,9026561,Global
57,Don Toliver,After Party,42,11,8745733,Global
58,"Drake, Giveon",Chicago Freestyle (feat. Giveon),23,9,8456023,Global
59,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí,54,13,8370993,Global
60,J Balvin,Rojo,14,18,8239942,Global
61,Regard,Ride It,12,43,8185640,Global
