rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,Sech,Relación,1,13,166670,Guatemala
2,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,2,7,144776,Guatemala
3,J Balvin,Rojo,1,18,142682,Guatemala
4,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí,4,14,122431,Guatemala
5,Bad Bunny,Yo Perreo Sola,2,18,118420,Guatemala
6,Harry Nach,Tak Tiki Tak,6,6,115780,Guatemala
7,Rauw Alejandro,Tattoo,3,20,114545,Guatemala
8,The Weeknd,Blinding Lights,6,31,112959,Guatemala
9,Camilo,Favorito,1,14,107251,Guatemala
10,J Balvin,Azul,10,15,105510,Guatemala
11,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,2,18,104417,Guatemala
12,"Bad Bunny, Sech",Ignorantes,1,20,98192,Guatemala
13,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,7,35,96354,Guatemala
14,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,2,5,95442,Guatemala
15,"Alex Rose, Rafa Pabön",Jangueo,13,28,95107,Guatemala
16,"Rauw Alejandro, Farruko",Fantasias,3,43,93674,Guatemala
17,"J Balvin, Bad Bunny",LA CANCIÓN,1,53,93398,Guatemala
18,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,7,43,93132,Guatemala
19,"Feid, Justin Quiles",PORFA,19,14,89247,Guatemala
20,"Arcángel, Sech, Dímelo Flow",Sigues Con El,2,29,88943,Guatemala
21,"KAROL G, Nicki Minaj",Tusa,1,34,88423,Guatemala
22,Bad Bunny,Si Veo a Tu Mamá,1,18,85840,Guatemala
23,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,3,59,85662,Guatemala
24,Bad Bunny,La Difícil,2,18,85347,Guatemala
25,Bad Bunny,Vete,1,33,84818,Guatemala
26,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,12,8,83385,Guatemala
27,J Balvin,Morado,7,25,83377,Guatemala
28,Myke Towers,Diosa,14,20,83227,Guatemala
29,"Bad Bunny, Daddy Yankee",La Santa,5,18,82026,Guatemala
30,Ozuna,Caramelo,30,3,79125,Guatemala
31,"Yandel, Bad Bunny",CANCIÓN CON YANDEL,4,8,72900,Guatemala
32,Tones And I,Dance Monkey,3,42,72152,Guatemala
33,"Arcángel, Sech, Romeo Santos",Sigues Con El - Remix,17,12,70642,Guatemala
34,Manuel Turizo,Quiéreme Mientras Se Pueda,31,9,68847,Guatemala
35,J Balvin,Amarillo,11,15,68420,Guatemala
36,Dua Lipa,Don't Start Now,15,35,68165,Guatemala
37,"Rauw Alejandro, Chencho Corleone",El Efecto,37,12,66770,Guatemala
38,"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),5,45,66591,Guatemala
39,Bad Bunny,BYE ME FUI,2,8,64475,Guatemala
40,Christian Nodal,Se Me Olvidó,8,17,63982,Guatemala
41,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,41,17,61141,Guatemala
42,"Powfu, beabadoobee",death bed (coffee for your head),28,17,60972,Guatemala
43,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,1,50,60532,Guatemala
44,"Bad Bunny, Tainy",Callaita,1,57,60422,Guatemala
45,"Camilo, Evaluna Montaner",Por Primera Vez,17,17,57954,Guatemala
46,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,46,2,56579,Guatemala
47,Bad Bunny,Si Estuviésemos Juntos,39,80,56395,Guatemala
48,"Reik, Farruko, Camilo",Si Me Dices Que Sí,36,20,56291,Guatemala
49,"Camilo, Pedro Capó",Tutu,1,47,54816,Guatemala
50,"Sech, Ozuna",Si Te Vas,8,40,54617,Guatemala
51,Christian Nodal,De Los Besos Que Te Di,31,60,52277,Guatemala
52,"Camilo, Christian Nodal",La Mitad,22,11,50059,Guatemala
53,"Camilo, Pablo Alborán",El Mismo Aire - con Pablo Alborán,42,3,49718,Guatemala
54,Bad Bunny,A Tu Merced,15,18,49265,Guatemala
55,"Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles",Bellaquita (Remix),24,32,48099,Guatemala
56,Camilo,La Difícil,37,28,47222,Guatemala
57,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),1,38,46782,Guatemala
58,"Piso 21, Micro TDH",Te Vi,4,81,46668,Guatemala
59,"Daddy Yankee, Sech",Definitivamente,16,22,46641,Guatemala
60,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Quizas,10,41,46535,Guatemala
61,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",61,1,45459,Guatemala
62,Christian Nodal,Amor Tóxico,26,5,45369,Guatemala
63,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,50,33,45095,Guatemala
64,Anuel AA,Reggaetonera,52,5,44668,Guatemala
65,"Banda MS de Sergio Lizárraga, Snoop Dogg",Qué Maldición,1,9,44566,Guatemala
66,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix,2,73,44460,Guatemala
67,"Arcángel, Bad Bunny",Infeliz,16,28,43631,Guatemala
