rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,Sech,Relación,1,13,60848,Honduras
2,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,2,10,56197,Honduras
3,J Balvin,Rojo,2,18,49070,Honduras
4,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,1,18,48143,Honduras
5,Bad Bunny,Yo Perreo Sola,1,18,46444,Honduras
6,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,4,8,46412,Honduras
7,The Weeknd,Blinding Lights,6,31,42993,Honduras
8,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,1,5,41078,Honduras
9,"Bad Bunny, Sech",Ignorantes,1,20,38696,Honduras
10,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí,10,14,38650,Honduras
11,"Bad Bunny, Daddy Yankee",La Santa,4,18,37848,Honduras
12,Rauw Alejandro,Tattoo,7,20,37656,Honduras
13,"J Balvin, Bad Bunny",LA CANCIÓN,1,53,35901,Honduras
14,Camilo,Favorito,2,14,35630,Honduras
15,Bad Bunny,Si Veo a Tu Mamá,1,18,34784,Honduras
16,Bad Bunny,La Difícil,2,18,34594,Honduras
17,Bad Bunny,Vete,1,33,34094,Honduras
18,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,6,35,33279,Honduras
19,Harry Nach,Tak Tiki Tak,19,5,32834,Honduras
20,Myke Towers,Diosa,10,23,31526,Honduras
21,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,3,59,30481,Honduras
22,"KAROL G, Nicki Minaj",Tusa,1,34,29856,Honduras
23,"Feid, Justin Quiles",PORFA,23,13,29524,Honduras
24,"Yandel, Bad Bunny",CANCIÓN CON YANDEL,2,8,29350,Honduras
25,J Balvin,Azul,18,15,28887,Honduras
26,"Rauw Alejandro, Farruko",Fantasias,3,43,28663,Honduras
27,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,27,3,27977,Honduras
28,"Arcángel, Sech, Dímelo Flow",Sigues Con El,2,29,27877,Honduras
29,Bad Bunny,BYE ME FUI,1,8,27837,Honduras
30,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,14,43,27661,Honduras
31,Dua Lipa,Don't Start Now,12,35,27473,Honduras
32,J Balvin,Morado,9,25,26987,Honduras
33,Bad Bunny,A Tu Merced,9,18,26621,Honduras
34,"Alex Rose, Rafa Pabön",Jangueo,30,20,26022,Honduras
35,Tones And I,Dance Monkey,4,42,25810,Honduras
36,J Balvin,Amarillo,10,15,24779,Honduras
37,Ozuna,Caramelo,37,3,24656,Honduras
38,"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),5,45,23294,Honduras
39,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,37,25,23010,Honduras
40,Drake,Toosie Slide,26,13,22414,Honduras
41,"Bad Bunny, Tainy",Callaita,1,57,22408,Honduras
42,"Powfu, beabadoobee",death bed (coffee for your head),27,18,21537,Honduras
43,BLACKPINK,How You Like That,43,1,21529,Honduras
44,"Rauw Alejandro, Chencho Corleone",El Efecto,41,12,21294,Honduras
45,"Arcángel, Sech, Romeo Santos",Sigues Con El - Remix,27,12,20651,Honduras
46,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,1,50,20354,Honduras
47,"Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles",Bellaquita (Remix),20,32,19846,Honduras
48,"Bad Bunny, Nicky Jam",BAD CON NICKY,6,8,19017,Honduras
49,Bad Bunny,Si Estuviésemos Juntos,23,80,18996,Honduras
50,"Arcángel, Bad Bunny",Infeliz,8,28,18613,Honduras
51,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,51,3,18386,Honduras
52,"El Alfa, Chael Produciendo",Singapur,52,1,18121,Honduras
53,"Ir Sais, Rauw Alejandro",Dream Girl - Remix,53,22,17717,Honduras
54,Myke Towers,Girl,5,23,17435,Honduras
55,Harry Styles,Watermelon Sugar,55,19,16885,Honduras
56,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),1,38,16338,Honduras
57,Anuel AA,Reggaetonera,29,5,16174,Honduras
58,"Daddy Yankee, Sech",Definitivamente,16,22,16006,Honduras
59,"Bad Bunny, Don Omar",PA' ROMPERLA,8,8,15809,Honduras
60,"Jhayco, Anuel AA, J Balvin",Medusa,19,22,15689,Honduras
61,Dua Lipa,Break My Heart,31,14,15333,Honduras
62,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,59,83,15296,Honduras
63,"Sech, Ozuna",Si Te Vas,7,40,15279,Honduras
64,"Camilo, Evaluna Montaner",Por Primera Vez,22,17,15225,Honduras
65,"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),41,5,15101,Honduras
66,"SAINt JHN, Imanbek",Roses - Imanbek Remix,66,15,14873,Honduras
67,"J Balvin, Bad Bunny",QUE PRETENDES,4,53,14838,Honduras
68,"Camilo, Pedro Capó",Tutu,5,47,14792,Honduras
69,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),2,60,14744,Honduras
70,Manuel Turizo,Quiéreme Mientras Se Pueda,70,9,14738,Honduras
71,"Camilo, Pablo Alborán",El Mismo Aire - con Pablo Alborán,53,3,14718,Honduras
72,"Bad Bunny, Zion & Lennox",MÁS DE UNA CITA,3,8,14646,Honduras
73,"Bad Bunny, Yaviah",Bichiyal,11,18,14613,Honduras
74,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix,2,73,14601,Honduras
75,Christian Nodal,Se Me Olvidó,16,17,14572,Honduras
76,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Quizas,10,41,14520,Honduras
77,Aya Nakamura,Djadja,65,10,14292,Honduras
78,"Camilo, Christian Nodal",La Mitad,20,11,14068,Honduras
79,"KEVVO, Farruko, Chencho Corleone, Arcángel, Darell, Ñengo Flow, Brytiago, Myke Towers",105 F Remix,18,42,13980,Honduras
80,Christian Nodal,De Los Besos Que Te Di,41,52,13952,Honduras
81,Anuel AA,Keii,9,21,13931,Honduras
82,"Piso 21, Micro TDH",Te Vi,5,81,13817,Honduras
83,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",83,1,13816,Honduras
84,"Bad Bunny, Mora",Una Vez,19,18,13638,Honduras
85,"Justin Quiles, NATTI NATASHA, Farruko, Lenny Tavárez, Dalex, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",32,43,13603,Honduras
86,Anuel AA,Narcos,27,5,13571,Honduras
87,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),18,6,13482,Honduras
88,"Justin Quiles, Daddy Yankee, El Alfa",PAM,88,9,13443,Honduras
89,"Nicky Jam, Daddy Yankee",Muévelo,19,25,13384,Honduras
90,Post Malone,Circles,35,44,13366,Honduras
91,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),91,7,13341,Honduras
92,Bad Bunny,Pero Ya No,6,18,13328,Honduras
93,Doja Cat,Say So,47,24,13181,Honduras
94,"Nicky Jam, Anuel AA",Whine Up,10,36,13105,Honduras
95,Harry Styles,Adore You,53,30,12945,Honduras
96,Trevor Daniel,Falling,48,31,12848,Honduras
97,J Balvin,Negro,40,15,12747,Honduras
98,Bad Bunny,BENDICIONES,12,8,12612,Honduras
99,"Dalex, Lenny Tavárez",Bellaquita,18,43,12550,Honduras
100,"Farruko, Beéle, NATTI NATASHA, Manuel Turizo",Loco - Remix,65,10,12492,Honduras
101,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,4,49,12470,Honduras
102,Beéle,Loco,20,43,12435,Honduras
103,"KAROL G, Anuel AA",Follow,28,13,12400,Honduras
104,"Sech, Daddy Yankee",Confía,48,6,12397,Honduras
105,Camilo,La Difícil,52,28,12393,Honduras
106,Bad Bunny,Soliá,10,18,12203,Honduras
107,"Reik, Farruko, Camilo",Si Me Dices Que Sí,93,19,12114,Honduras
108,Maluma,11 PM,14,59,12100,Honduras
109,J Balvin,Blanco,26,33,12099,Honduras
110,"Myke Towers, Farruko, Arcángel, Sech, Zion",Si Se Da - Remix,10,48,12089,Honduras
111,"Banda MS de Sergio Lizárraga, Snoop Dogg",Qué Maldición,7,9,11999,Honduras
112,Roddy Ricch,The Box,39,26,11974,Honduras
113,Travis Scott,SICKO MODE,22,45,11938,Honduras
114,"Dalex, Sech",Mejor,27,21,11855,Honduras
115,Christian Nodal,No Te Contaron Mal,52,85,11689,Honduras
116,Maroon 5,Memories,51,40,11564,Honduras
117,Travis Scott,goosebumps,36,10,11533,Honduras
118,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),111,10,11531,Honduras
119,"Noriel, Myke Towers, Rauw Alejandro, Almighty",Cuerpo en Venta,14,47,11510,Honduras
120,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,118,7,11498,Honduras
121,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,6,90,11307,Honduras
122,Lewis Capaldi,Someone You Loved,85,43,11272,Honduras
123,"Shawn Mendes, Camila Cabello",Señorita,8,54,11228,Honduras
124,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,6,53,11014,Honduras
125,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",Que Mas Pues - Remix,6,64,10946,Honduras
126,"Lunay, Ozuna, Myke Towers, Chencho Corleone, Rauw Alejandro",La Cama (Remix),110,14,10773,Honduras
127,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),127,1,10761,Honduras
128,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",Fantasias - Remix,63,17,10754,Honduras
129,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Verte Ir,1,66,10748,Honduras
130,Bad Bunny,Otra Noche en Miami,16,80,10699,Honduras
131,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Cuaderno,6,60,10695,Honduras
132,The Weeknd,In Your Eyes,35,15,10537,Honduras
133,"Sech, Darell",Otro Trago,1,63,10335,Honduras
134,"Anuel AA, Enrique Iglesias",Fútbol & Rumba (feat. Enrique Iglesias),31,5,10282,Honduras
135,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,25,89,10198,Honduras
136,Zion & Lennox,La player (Bandolera),2,121,10181,Honduras
137,"Myke Towers, Maluma, Farruko",La Playa - Remix,23,26,10155,Honduras
138,"El Alfa, Darell, Noriel",4K,138,2,10081,Honduras
139,"BENEE, Gus Dapperton",Supalonely,95,16,10025,Honduras
140,"Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno",Toda Remix - Remix,3,37,10005,Honduras
141,Dalex,+Linda,136,5,10005,Honduras
142,"Lunay, Anuel AA, Ozuna",Aventura,20,36,9872,Honduras
143,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),45,8,9684,Honduras
144,Christian Nodal,AYAYAY!,47,11,9668,Honduras
145,Christian Nodal,Amor Tóxico,49,5,9660,Honduras
146,Danny Ocean,Me Rehúso,1,184,9618,Honduras
147,Camilo,El Mismo Aire,28,11,9575,Honduras
148,Los Enanitos Verdes,Lamento Boliviano,75,144,9564,Honduras
149,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,23,10,9534,Honduras
150,"Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay",Mi Error - Remix,85,32,9486,Honduras
151,Daddy Yankee,Que Tire Pa Lante,4,37,9444,Honduras
152,Travis Scott,HIGHEST IN THE ROOM,57,23,9427,Honduras
153,"Sebastian Yatra, Rauw Alejandro, Manuel Turizo",TBT,65,19,9378,Honduras
154,Maluma,ADMV,117,10,9355,Honduras
155,Bad Bunny,25/8,13,18,9340,Honduras
156,Bad Bunny,RONCA FREESTYLE,18,8,9318,Honduras
157,"NATTI NATASHA, Romeo Santos",La Mejor Versión de Mi - Remix,54,39,9315,Honduras
158,Myke Towers,La Playa,11,64,9297,Honduras
159,6ix9ine,GOOBA,47,8,9284,Honduras
160,Melanie Martinez,Play Date,154,8,9066,Honduras
161,"Bad Bunny, Anuel AA",Está Cabrón Ser Yo,15,18,9038,Honduras
162,DripReport,Skechers,76,14,8991,Honduras
163,Imagine Dragons,Believer,53,177,8973,Honduras
164,"Justin Bieber, Quavo",Intentions (feat. Quavo),57,21,8904,Honduras
165,"Anuel AA, Cardi B, Black Jonas Point, Secreto ""El Famoso Biberon"", Liro Shaq",La Bebe - Remix,147,4,8886,Honduras
166,"Cali Y El Dandee, Sebastian Yatra",Locura,136,8,8616,Honduras
167,"Bad Bunny, Drake",MIA,1,91,8612,Honduras
168,"Morat, Sebastian Yatra",Bajo La Mesa,39,6,8602,Honduras
169,Bad Bunny,Solo de Mi,3,80,8424,Honduras
170,Alejandro Fernández,Me Dediqué a Perderte,108,116,8421,Honduras
171,The Police,Every Breath You Take,133,93,8402,Honduras
172,Juanfran,Como Llora,172,4,8386,Honduras
173,Bad Bunny,SI ELLA SALE,13,8,8364,Honduras
174,"Shakira, Anuel AA",Me Gusta,26,25,8328,Honduras
175,"Bad Bunny, Duki, Pablo Chill-E",Hablamos Mañana,23,18,8252,Honduras
176,"Pedro Capó, Farruko",Calma - Remix,1,90,8238,Honduras
177,Bad Bunny,Estamos Bien,1,103,8229,Honduras
178,"Bad Bunny, Ñengo Flow",Que Malo,18,18,8219,Honduras
179,Camilo,No Te Vayas,44,57,8189,Honduras
180,"Bad Bunny, Gabriela",EN CASITA,21,8,8159,Honduras
181,Lil Mosey,Blueberry Faygo,103,15,8138,Honduras
182,Bad Bunny,La Zona,14,18,8040,Honduras
183,Billie Eilish,bad guy,25,66,8033,Honduras
184,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix,5,87,8027,Honduras
185,Ariana Grande,7 rings,12,72,8011,Honduras
186,"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),48,4,7997,Honduras
187,"Myke Towers, Farruko",Si Se Da,6,69,7995,Honduras
188,"Sam Smith, Normani",Dancing With A Stranger (with Normani),48,72,7995,Honduras
189,Ed Maverick,Fuentes de Ortiz,135,29,7941,Honduras
190,Sam Smith,How Do You Sleep?,38,43,7903,Honduras
191,Paulo Londra,Adan y Eva,2,86,7837,Honduras
192,"Anuel AA, Tego Calderón",Jangueo,36,5,7837,Honduras
193,"Future, Drake",Life Is Good (feat. Drake),57,25,7817,Honduras
