rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,J Balvin,Azul,1,15,3492177,Mexico
2,Sech,Relación,2,13,3488815,Mexico
3,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,3,7,3404482,Mexico
4,The Weeknd,Blinding Lights,2,31,2808323,Mexico
5,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,1,18,2717116,Mexico
6,Bad Bunny,Yo Perreo Sola,1,18,2560732,Mexico
7,J Balvin,Rojo,3,18,2387500,Mexico
8,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí,7,14,2239135,Mexico
9,Harry Nach,Tak Tiki Tak,9,6,2234782,Mexico
10,"Alex Rose, Rafa Pabön",Jangueo,7,23,2029650,Mexico
11,Camilo,Favorito,2,14,2026040,Mexico
12,"Rauw Alejandro, Chencho Corleone",El Efecto,11,12,1852675,Mexico
13,J Balvin,Morado,5,25,1825989,Mexico
14,Rauw Alejandro,Tattoo,8,19,1794343,Mexico
15,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,15,5,1793469,Mexico
16,Tones And I,Dance Monkey,2,42,1774768,Mexico
17,"KAROL G, Nicki Minaj",Tusa,1,34,1768875,Mexico
18,Christian Nodal,Se Me Olvidó,3,17,1722772,Mexico
19,Bad Bunny,Si Veo a Tu Mamá,1,18,1644044,Mexico
20,"Feid, Justin Quiles",PORFA,20,13,1625076,Mexico
21,Carin Leon,Tu - En Vivo,21,5,1611602,Mexico
22,Bad Bunny,La Difícil,3,18,1589145,Mexico
23,"Arcángel, Sech, Dímelo Flow",Sigues Con El,3,29,1574420,Mexico
24,J Balvin,Amarillo,9,15,1558428,Mexico
25,"Bad Bunny, Sech",Ignorantes,2,20,1524450,Mexico
26,"SAINt JHN, Imanbek",Roses - Imanbek Remix,25,15,1521396,Mexico
27,Dua Lipa,Don't Start Now,8,35,1491755,Mexico
28,Dua Lipa,Break My Heart,18,14,1476065,Mexico
29,Myke Towers,Diosa,16,20,1473546,Mexico
30,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,6,43,1454095,Mexico
31,"J Balvin, Bad Bunny",LA CANCIÓN,1,53,1453831,Mexico
32,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,3,59,1439444,Mexico
33,Ozuna,Caramelo,33,3,1432006,Mexico
34,"Bad Bunny, Daddy Yankee",La Santa,5,18,1414953,Mexico
35,"Camilo, Christian Nodal",La Mitad,24,11,1377375,Mexico
36,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,10,32,1356536,Mexico
37,"Powfu, beabadoobee",death bed (coffee for your head),21,17,1326064,Mexico
38,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),38,10,1298315,Mexico
39,"Bad Bunny, Don Omar",PA' ROMPERLA,10,8,1267763,Mexico
40,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,31,30,1259168,Mexico
41,Carin Leon,Me la Avente,27,56,1257664,Mexico
42,Christian Nodal,Amor Tóxico,16,5,1255212,Mexico
43,Bad Bunny,Vete,1,32,1224004,Mexico
44,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),6,6,1190295,Mexico
45,"Rauw Alejandro, Farruko",Fantasias,5,41,1157238,Mexico
46,"Camilo, Pablo Alborán",El Mismo Aire - con Pablo Alborán,46,3,1148590,Mexico
47,J Balvin,Negro,28,15,1143071,Mexico
48,Bad Bunny,A Tu Merced,18,18,1122591,Mexico
49,Christian Nodal,AYAYAY!,15,11,1115926,Mexico
50,Eslabon Armado,Con Tus Besos,50,11,1101963,Mexico
51,Doja Cat,Say So,25,22,1081842,Mexico
52,Maluma,ADMV,52,10,1062493,Mexico
