rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
1,Sech,Relación,1,13,725461,Peru
2,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí,2,14,535497,Peru
3,Camilo,Favorito,1,14,488860,Peru
4,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,4,9,469749,Peru
5,"Feid, Justin Quiles",PORFA,4,14,434069,Peru
6,Rauw Alejandro,Tattoo,4,20,422661,Peru
7,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,1,18,414323,Peru
8,The Weeknd,Blinding Lights,6,27,409571,Peru
9,Harry Nach,Tak Tiki Tak,8,7,399468,Peru
10,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,10,3,392919,Peru
11,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,2,35,372740,Peru
12,Bad Bunny,Yo Perreo Sola,2,18,366744,Peru
13,J Balvin,Rojo,7,18,358597,Peru
14,J Balvin,Azul,14,15,352412,Peru
15,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,11,24,350396,Peru
16,Greeicy,Los Besos,14,11,342400,Peru
17,"Camilo, Evaluna Montaner",Por Primera Vez,2,17,338458,Peru
18,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,16,5,315228,Peru
19,Myke Towers,Diosa,7,21,309191,Peru
20,"Ir Sais, Rauw Alejandro",Dream Girl - Remix,17,22,305529,Peru
21,"KAROL G, Nicki Minaj",Tusa,1,34,298018,Peru
22,"Alex Rose, Rafa Pabön",Jangueo,21,22,282443,Peru
23,Ozuna,Caramelo,23,3,270782,Peru
24,J Balvin,Morado,9,25,259826,Peru
25,"Cali Y El Dandee, Sebastian Yatra",Locura,15,8,259283,Peru
26,Manuel Turizo,Quiéreme Mientras Se Pueda,26,9,257549,Peru
27,"Arcángel, Sech, Romeo Santos",Sigues Con El - Remix,15,12,255061,Peru
28,"Camilo, Pablo Alborán",El Mismo Aire - con Pablo Alborán,24,3,250058,Peru
29,"Rauw Alejandro, Farruko",Fantasias,2,43,248903,Peru
30,Dua Lipa,Don't Start Now,9,35,243179,Peru
31,"Arcángel, Sech, Dímelo Flow",Sigues Con El,2,29,242722,Peru
32,"Reik, Farruko, Camilo",Si Me Dices Que Sí,28,19,240313,Peru
33,BLACKPINK,How You Like That,33,1,236204,Peru
34,"Rauw Alejandro, Chencho Corleone",El Efecto,24,37,231701,Peru
35,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,35,2,227065,Peru
36,Bad Bunny,Si Veo a Tu Mamá,2,18,226944,Peru
37,Bad Bunny,La Difícil,4,18,225559,Peru
38,J Balvin,Amarillo,14,15,224977,Peru
39,Tones And I,Dance Monkey,3,37,223510,Peru
40,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",40,1,222932,Peru
41,"Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles",Bellaquita (Remix),6,32,221030,Peru
42,"Bad Bunny, Sech",Ignorantes,1,20,212425,Peru
43,"Powfu, beabadoobee",death bed (coffee for your head),16,17,211836,Peru
44,"Mike Bahía, Danny Ocean",Detente,16,33,209819,Peru
45,"Camilo, Pedro Capó",Tutu,2,47,209685,Peru
46,"Leslie Shaw, Thalia, Farina",Estoy Soltera,46,2,199756,Peru
47,"Piso 21, Micro TDH",Te Vi,3,81,197281,Peru
48,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,1,50,194011,Peru
