Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,país
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,Argentina_2022_limpio.csv
49,50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,Argentina_2022_limpio.csv
59,60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,Argentina_2022_limpio.csv
66,67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,Argentina_2022_limpio.csv
68,69,Cris Mj,Locura y Maldad,69,4,509726,Argentina_2022_limpio.csv
115,116,Standly,Pégate,77,16,341485,Argentina_2022_limpio.csv
116,117,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,117,1,339782,Argentina_2022_limpio.csv
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,Chile_2022_limpio.csv
49,50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,Chile_2022_limpio.csv
59,60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,Chile_2022_limpio.csv
66,67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,Chile_2022_limpio.csv
68,69,Cris Mj,Locura y Maldad,69,4,509726,Chile_2022_limpio.csv
115,116,Standly,Pégate,77,16,341485,Chile_2022_limpio.csv
116,117,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,117,1,339782,Chile_2022_limpio.csv
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,Colombia_2022_limpio.csv
49,50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,Colombia_2022_limpio.csv
59,60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,Colombia_2022_limpio.csv
66,67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,Colombia_2022_limpio.csv
68,69,Cris Mj,Locura y Maldad,69,4,509726,Colombia_2022_limpio.csv
115,116,Standly,Pégate,77,16,341485,Colombia_2022_limpio.csv
116,117,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,117,1,339782,Colombia_2022_limpio.csv
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,España_2022_limpio.csv
49,50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,España_2022_limpio.csv
59,60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,España_2022_limpio.csv
