Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,archivo
0,1,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,1,9,2448167,Argentina_2022_limpio.csv
1,2,"Bad Bunny, Chencho Corleone",Me Porto Bonito,2,9,2428541,Argentina_2022_limpio.csv
2,3,TINI,La Triple T,1,9,2274392,Argentina_2022_limpio.csv
3,4,Maria Becerra,OJALÁ,2,6,2273286,Argentina_2022_limpio.csv
4,5,"Shakira, Rauw Alejandro",Te Felicito,3,11,2167614,Argentina_2022_limpio.csv
5,6,Bad Bunny,Tití Me Preguntó,6,9,2163518,Argentina_2022_limpio.csv
6,7,Bad Bunny,Moscow Mule,1,9,2024486,Argentina_2022_limpio.csv
7,8,Bad Bunny,Efecto,8,9,1751991,Argentina_2022_limpio.csv
8,9,Duki,Antes de Perderte,7,5,1577188,Argentina_2022_limpio.csv
9,10,KAROL G,PROVENZA,9,11,1463782,Argentina_2022_limpio.csv
10,11,"Sofía Reyes, Maria Becerra",Marte,2,21,1430274,Argentina_2022_limpio.csv
11,12,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),9,5,1422964,Argentina_2022_limpio.csv
12,13,"Emilia, Nicki Nicole",intoxicao,11,6,1382403,Argentina_2022_limpio.csv
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,Argentina_2022_limpio.csv
14,15,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",14,4,1308099,Argentina_2022_limpio.csv
15,16,"Emanero, FMK, Rusherking, Estani",BANDIDO,15,6,1278974,Argentina_2022_limpio.csv
16,17,"Rei, Callejero Fino",Tu Turrito,17,9,1260143,Argentina_2022_limpio.csv
17,18,Paulo Londra,Luces,18,1,1228322,Argentina_2022_limpio.csv
18,19,"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,2,14,1190350,Argentina_2022_limpio.csv
19,20,Emilia,cuatro veinte,4,15,1159603,Argentina_2022_limpio.csv
20,21,WOS,ARRANCARMELO,2,14,1153126,Argentina_2022_limpio.csv
21,22,"Rauw Alejandro, Chencho Corleone",Desesperados,1,30,1113190,Argentina_2022_limpio.csv
22,23,"Bad Bunny, Jhayco",Tarot,17,9,1061855,Argentina_2022_limpio.csv
23,24,"La K'onga, Nahuel Pennisi",Universo Paralelo,2,34,1051039,Argentina_2022_limpio.csv
24,25,"Luck Ra, Rusherking",Te Mentiría Remix,13,10,1045743,Argentina_2022_limpio.csv
25,26,Lali,N5,26,2,1018984,Argentina_2022_limpio.csv
26,27,"Cazzu, Maria Becerra",Maléfica,20,7,1017024,Argentina_2022_limpio.csv
27,28,Paulo Londra,Nublado,28,1,999019,Argentina_2022_limpio.csv
28,29,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",1,28,988055,Argentina_2022_limpio.csv
29,30,"TINI, Beéle",Fantasi,5,20,974712,Argentina_2022_limpio.csv
30,31,"Los Ángeles Azules, Nicki Nicole",Otra Noche,10,34,964185,Argentina_2022_limpio.csv
31,32,"Bad Bunny, Rauw Alejandro",Party,17,9,963809,Argentina_2022_limpio.csv
32,33,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),32,7,930772,Argentina_2022_limpio.csv
33,34,TINI,Carne y Hueso,13,7,916477,Argentina_2022_limpio.csv
34,35,"Becky G, KAROL G",MAMIII,10,21,900172,Argentina_2022_limpio.csv
