rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,1,9,"255415"
2,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",1,2,9,"242257"
3,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",3,4,9,"220705"
4,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,3,9,"219745"
5,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",2,5,9,"199494"
6,"spotify:track:4tYFy8ALRjIZvnvSLw5lxN","Bad Bunny, Rauw Alejandro","Party","Rimas Entertainment LLC",5,6,9,"136991"
7,"spotify:track:41oY4WCTj5kccfesTVFnvN","Bad Bunny, Jhayco","Tarot","Rimas Entertainment LLC",7,7,9,"131069"
8,"spotify:track:7dSZ6zGTQx66c2GF91xCrb","KAROL G","PROVENZA","Universal Music Latino",1,8,11,"111533"
9,"spotify:track:5CzixCxDkRXX9mScCmah8O","Bad Bunny","Un Ratito","Rimas Entertainment LLC",6,9,9,"108550"
10,"spotify:track:1797zYiX4cKosMH836X9Gt","Bad Bunny, Tony Dize","La Corriente","Rimas Entertainment LLC",10,11,9,"103873"
11,"spotify:track:1dm6z1fWB0cErMszU25dy2","Bad Bunny","Después de la Playa","Rimas Entertainment LLC",5,10,9,"103146"
12,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",11,13,9,"100209"
13,"spotify:track:44XjoNvtwevktFKjvVe1vH","Bad Bunny, Buscabulla","Andrea","Rimas Entertainment LLC",12,12,9,"95159"
14,"spotify:track:6VrQTLzzuyGIYjUDe4kAZk","Bad Bunny","Un Coco","Rimas Entertainment LLC",13,14,9,"95143"
15,"spotify:track:2uflssWlCaJ6CbTMOsUpNI","Bad Bunny","Aguacero","Rimas Entertainment LLC",13,15,9,"85902"
16,"spotify:track:4d4ZXH4dr5bYfgErHiZCX2","Bad Bunny","Dos Mil 16","Rimas Entertainment LLC",11,18,9,"84080"
17,"spotify:track:5kVZxyMY1gfdCLiChsfjn1","Bad Bunny","Yo No Soy Celoso","Rimas Entertainment LLC",10,16,9,"83236"
18,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",1,21,40,"82791"
19,"spotify:track:28GCbKgjlVD9eDmasGbe0T","Bad Bunny","Me Fui de Vacaciones","Rimas Entertainment LLC",9,19,9,"79391"
20,"spotify:track:2rurDawMfoKP4uHyb2kJBt","Shakira, Rauw Alejandro","Te Felicito","Sony Music Latin",17,17,11,"77371"
21,"spotify:track:0E0DRHf5PfMeor0ZCwB3oT","Bad Bunny, The Marías","Otro Atardecer","Rimas Entertainment LLC",19,23,9,"69746"
22,"spotify:track:48AJSd42lXpicsGqcgopof","Daddy Yankee, Bad Bunny","X ÚLTIMA VEZ","Republic Records",1,20,15,"68097"
23,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",3,22,14,"66913"
24,"spotify:track:2NMjggapJcXXM7WccGEBUO","Bad Bunny","Enséñame a Bailar","Rimas Entertainment LLC",20,26,9,"66140"
25,"spotify:track:6mmPpaltUZK7xjNlBPQQ0p","Rauw Alejandro, Chencho Corleone","Desesperados","Sony Music Latin/Duars Entertainment",3,24,30,"65563"
26,"spotify:track:7FlQk2gJ6TBrHHiidvdR2O","Becky G, KAROL G","MAMIII","Kemosabe Records/RCA Records",3,25,21,"63987"
27,"spotify:track:71wFwRo8xGc4lrcyKwsvba","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",1,28,162,"63606"
28,"spotify:track:18HOjcvTVV7W8YzBuOsAPS","Bad Bunny","Un Verano Sin Ti","Rimas Entertainment LLC",17,27,9,"63051"
29,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",1,29,57,"60253"
30,"spotify:track:0wihfILRNOwE2156Shezc8","Bad Bunny","Agosto","Rimas Entertainment LLC",22,32,9,"59532"
31,"spotify:track:0UvZcEfpzVyx47QsRbjyBz","Bad Bunny","El Apagón","Rimas Entertainment LLC",21,31,9,"58054"
32,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",1,36,158,"56882"
33,"spotify:track:1UdzJEpgJxtuXAlCOvD4S0","Danny Ocean","Fuera del mercado","Atlantic Records",3,30,19,"56251"
34,"spotify:track:0UXlu64mDLvfzR8IXMz06J","Christian Nodal","Ya No Somos Ni Seremos","Producciones Ladon, S.A de C.V.",2,33,20,"52981"
35,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",35,60,5,"52209"
36,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",36,46,6,"51861"
37,"spotify:track:1O2pcBJGej0pmH2Y9XZMs6","Cris Mj","Una Noche en Medellín","Sonar LLC.",12,34,20,"51322"
38,"spotify:track:4r9jkMEnArtWGH2rL2FZl0","Bad Bunny","A Tu Merced","Rimas Entertainment LLC",6,39,123,"49708"
39,"spotify:track:6DoL1yYIwEW7VZMRaJhoJI","Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow","La Llevo Al Cielo (Ft. Ñengo Flow)","UMLE - Latino",39,41,7,"49319"
40,"spotify:track:6wtZPYBIXUvCpXwVjMCJBf","Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto","ULTRA SOLO REMIX","Sony Music Entertainment Chile S.A",37,37,3,"49045"
41,"spotify:track:7gwT3HGL84vF7bgtwL1N88","Lasso","Ojos Marrones","Universal Music Mexico",41,82,2,"43648"
42,"spotify:track:69vlMrzHwATKzupwNcUPyK","Bad Bunny, Daddy Yankee","La Santa","Rimas Entertainment LLC",4,40,123,"43628"
43,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",33,35,4,"43357"
44,"spotify:track:4XKXphKH76W4zNpkgFS5o2","j-hope","MORE","BIGHIT MUSIC",44,-1,1,"40491"
45,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, Jhayco","DÁKITI","Rimas Entertainment LLC",1,43,88,"40423"
46,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",3,42,53,"39105"
47,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",38,38,2,"38439"
48,"spotify:track:6y8z28epOv5FlaxDv1Lo5B","Ryan Castro","Jordan","King Records",9,45,21,"37636"
49,"spotify:track:2vmfvSoZBFAt9hhRoEByLi","Aventura, Bad Bunny","Volví","Rimas Entertainment LLC",2,44,49,"37091"
50,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",43,51,14,"35581"
51,"spotify:track:2tFwfmceQa1Y6nRPhYbEtC","Jhayco, Bad Bunny","CÓMO SE SIENTE - Remix","N&E Entertainment LLC",3,66,113,"35438"
52,"spotify:track:4R8BJggjosTswLxtkw8V7P","Jhayco, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",3,59,164,"34263"
53,"spotify:track:3FkeNbs9Zeiqkr3WkbOiGp","Anitta","Envolver","Warner Records",14,47,18,"33579"
54,"spotify:track:75UMtPC77vqKRwfSuYuNPO","Kevin Kaarl","San Lucas","Kevin Kaarl",24,48,15,"32751"
55,"spotify:track:4srcMdbm2qzVG98tJajHxp","Alejo, Feid, ROBI","Pantysito","UMLE - Latino",25,49,16,"32118"
56,"spotify:track:6ipzb1kHhWIxp1tS0vwqPl","Feid","Ferxxo 100","Universal Music Latino",56,69,5,"31887"
57,"spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK","Gera MX, Christian Nodal","Botella Tras Botella","Virgin Music México",1,57,63,"31757"
58,"spotify:track:5gflgO9EPbIBf16n5TKnQS","Zion & Lennox","Yo Voy (feat. Daddy Yankee)","Baby Records Inc",26,52,20,"31541"
59,"spotify:track:35wvL50xvKpCHEJPxLOLPI","Bad Bunny","Si Estuviésemos Juntos","Rimas Entertainment LLC",9,50,185,"30655"
60,"spotify:track:3rdAz1fbUfZxYgaCviYhRo","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",1,53,59,"30528"
61,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",12,58,193,"30212"
62,"spotify:track:0R7DSnSibvuE4PEHqUayqf","Plan B","Es un Secreto","Pina Records",62,87,57,"30189"
63,"spotify:track:5J7teKIJGtqVypgYI6sqXj","Bad Bunny, Mora","Una Vez","Rimas Entertainment LLC",12,54,123,"29714"
